Player,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,6s,4s
Mohammad Rizwan,6,6,1 ,281,78, 56.20 ,239,117.57,- ,3 , 6 , 21 
Virat Kohli,5,5,2 ,276,122, 92.00 ,187,147.59,1 ,2 , 11 , 20 
Ibrahim Zadran,5,5,2 ,196,64, 65.33 ,188,104.26,- ,1 , 4 , 14 
Bhanuka Rajapaksa,6,6,2 ,191,71, 47.75 ,128,149.22,- ,1 , 9 , 15 
Pathum Nissanka,6,6,1 ,173,55, 34.60 ,150,115.33,- ,2 , 5 , 15 
Kusal Mendis,6,6,- ,155,60, 25.83 ,99,156.57,- ,2 , 9 , 10 
Rahmanullah Gurbaz,5,5,- ,152,84, 30.40 ,93,163.44,- ,1 , 12 , 8 
Suryakumar Yadav,5,5,1 ,139,68, 34.75 ,85,163.53,- ,1 , 8 , 10 
Rohit Sharma,4,4,- ,133,72, 33.25 ,88,151.14,- ,1 , 8 , 10 
 KL Rahul,5,5,- ,132,62, 26.40 ,108,122.22,- ,1 , 6 , 8 
Dasun Shanaka,6,6,1 ,111,45, 22.20 ,80,138.75,- ,- , 5 , 9 
Iftikhar Ahmed,6,5,1 ,105,32, 26.25 ,104,100.96,- ,- , 3 , 6 
Fakhar Zaman,6,6,- ,96,53, 16.00 ,93,103.23,- ,1 , 2 , 9 
Hazratullah Zazai,5,5,1 ,94,37, 23.50 ,91,103.30,- ,- , 1 , 14 
Mohammad Nawaz,6,5,- ,79,42, 15.80 ,55,143.64,- ,- , 4 , 8 
Mosaddek Hossain,2,2,2 ,72,48, - ,40,180.00,- ,- , 1 , 8 
Najibullah Zadran,5,5,2 ,72,43, 24.00 ,42,171.43,- ,- , 8 , 2 
Babar Azam,6,6,- ,68,30, 11.33 ,63,107.94,- ,- , - , 7 
Wanindu Hasaranga,6,5,2 ,66,36, 22.00 ,44,150.00,- ,- , 1 , 10 
Chamika Karunaratne,6,4,2 ,66,31, 33.00 ,64,103.13,- ,- , 2 , 5 
Danushka Gunathilaka,6,6,- ,63,33, 10.50 ,58,108.62,- ,- , 2 , 7 
Khushdil Shah,6,6,2 ,58,35, 14.50 ,48,120.83,- ,- , 5 , 1 
Shadab Khan,5,3,- ,54,36, 18.00 ,41,131.71,- ,- , 3 , 3 
Mahmudullah,2,2,- ,52,27, 26.00 ,49,106.12,- ,- , 1 , 2 
Afif Hossain,2,2,- ,51,39, 25.50 ,37,137.84,- ,- , 2 , 4 
Rishabh Pant,4,3,1 ,51,20, 25.50 ,41,124.39,- ,- , - , 8 
Hardik Pandya,3,3,1 ,50,33, 25.00 ,32,156.25,- ,- , 2 , 4 
Rashid Khan,5,3,1 ,42,18, 21.00 ,41,102.44,- ,- , 2 , 4 
Babar Hayat,2,2,- ,41,41, 20.50 ,39,105.13,- ,- , 2 , 3 
Asif Ali,6,5,- ,41,16, 8.20 ,25,164.00,- ,- , 3 , 2 
Mehidy Hasan Miraz,1,1,- ,38,38, 38.00 ,26,146.15,- ,- , 2 , 2 
