"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
USA,"10,18,25,079",0,"11,13,307",0,"9,89,32,846",0,"17,78,926","3,967","3,04,132","3,325","1,14,91,44,186","34,32,276","33,48,05,269"
India,"4,46,77,346",0,"5,30,677",0,"4,41,42,032",0,"4,637",698,"31,762",377,"90,92,84,443","6,46,427","1,40,66,31,776"
France,"3,89,71,117","71,212","1,60,747",130,"3,76,86,182","68,204","11,24,188",869,"5,94,212","2,451","27,14,90,188","41,39,547","6,55,84,518"
Germany,"3,70,35,898",0,"1,60,045",0,"3,63,12,800","39,500","5,63,053","1,406","4,41,515","1,908","12,23,32,384","14,58,359","8,38,83,596"
Brazil,"3,59,43,720",0,"6,91,994",0,"3,46,09,068",0,"6,42,658","8,318","1,66,906","3,213","6,37,76,166","2,96,146","21,53,53,593"
S. Korea,"2,83,02,474","87,559","31,490",56,"2,71,77,366","52,948","10,93,618",519,"5,51,384",613,"1,58,04,065","3,07,892","5,13,29,899"
Japan,"2,73,74,464","1,85,694","53,730",231,"2,09,42,684","8,814","63,78,050",493,"2,17,976",428,"8,49,27,057","6,76,252","12,55,84,838"
Italy,"2,48,84,034",0,"1,83,138",0,"2,42,15,242",0,"4,85,654",321,"4,12,925","3,039","26,07,32,261","43,26,589","6,02,62,770"
UK,"2,40,89,042",0,"1,98,271",0,"2,38,02,467","3,793","88,304",146,"3,51,676","2,895","52,25,26,476","76,28,357","6,84,97,907"
Russia,"2,17,28,409","5,994","3,93,107",57,"2,11,23,341","8,109","2,11,961","2,300","1,49,023","2,696","27,34,00,000","18,75,095","14,58,05,947"
Turkey,"1,70,42,722",0,"1,01,492",0,0,0,0,0,"1,99,186","1,186","16,27,43,369","19,02,052","8,55,61,976"
Spain,"1,36,51,239",0,"1,16,658",0,"1,34,44,388",0,"90,193",339,"2,92,198","2,497","47,10,36,328","1,00,82,298","4,67,19,142"
Vietnam,"1,15,23,367",204,"43,180",0,"1,06,10,349",59,"8,69,838",39,"1,16,452",436,"8,58,26,548","8,67,342","9,89,53,541"
Australia,"1,09,79,204","3,830","16,712",20,"1,05,46,102",0,"4,16,390",102,"4,21,163",641,"7,88,35,048","30,24,116","2,60,68,792"
Argentina,"98,29,236",0,"1,30,080",0,"95,97,167",0,"1,01,989",248,"2,13,632","2,827","3,57,16,069","7,76,264","4,60,10,234"
Taiwan,"86,05,539","17,131","14,931",18,"82,98,444","17,695","2,92,164",0,"3,60,236",625,"2,89,57,403","12,12,185","2,38,88,595"
Netherlands,"85,56,131",0,"22,942",0,"85,11,781",579,"21,408",27,"4,97,119","1,333","2,59,84,435","15,09,718","1,72,11,447"
Iran,"75,60,581",62,"1,44,667",3,"73,35,779",36,"80,135",79,"87,890","1,682","5,44,20,785","6,32,632","8,60,22,837"
Mexico,"71,90,702","1,840","3,30,805",10,"64,36,684","6,335","4,23,213","4,798","54,656","2,514","1,89,42,791","1,43,983","13,15,62,772"
Indonesia,"67,11,703","1,297","1,60,451",27,"65,25,525","2,781","25,727","2,771","24,045",575,"11,34,15,386","4,06,311","27,91,34,505"
Poland,"63,62,604",886,"1,18,436",7,"53,35,940",0,"9,08,228","1,530","1,68,591","3,138","3,79,13,015","10,04,590","3,77,39,785"
Colombia,"63,30,409",0,"1,41,996",0,"61,50,571",0,"37,842",342,"1,22,890","2,757","3,69,51,507","7,17,327","5,15,12,762"
Austria,"56,56,559","4,899","21,332",1,"55,86,141","2,709","49,086",47,"6,23,882","2,353","20,39,52,675","2,24,94,673","90,66,710"
