Name,Country,Description,%,Price,Date
EUR/AAVE,-,Aave,0.59,0.0208,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ACT,-,Achain,2.18,832.348,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ADA,-,Cardano,-0.23,4.3473,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ADX,-,AdEx,0.98,9.7196,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/AE,-,Aeternity,-0.39,15.7058,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/AED,United Arab Emirates,UAE dirham,0.07,3.9392,12/31/2022
EUR/AEON,-,Aeon,8.9,14.1759,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/AFN,Afghanistan,Afghani,0,95.4828,12/31/2022
EUR/AGRS,-,Agoras Tokens,20.11,10.2535,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/AION,-,Aion,0.6,40.7228,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ALGO,-,Algorand,-1.33,6.1297,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/AMB,-,Ambrosus,-1.54,91.0949,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/AMD,Armenia,Armenischer Dram,0,421.3884,12/31/2022
EUR/AMP,-,Synereo,-0.65,349.4005,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ANG,Netherlands Antilles,Niederl.-Antillen-Gulden,0.38,1.9158,12/30/2022
EUR/ANT,-,Aragon,0.23,0.4817,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/APPC,-,AppCoins,-0.07,471.841,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ARDR,-,Ardor,-2.4,15.6709,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ARK,-,Ark,0,4.4817,11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ARS,Argentina,Argentine Peso,-0.43,188.76,12/31/2022
EUR/ART,-,Maecenas,0.68,"2,224.25",11:41 AM01/01/2023 11:41:00 AM UTC-0500
EUR/ATM,-,ATMChain,-1.84,0.459,11:41 AM01/01/2023 11:41:00 AM UTC-0500
