Name,Country,Description,%,Price,Date
USD/AAVE,-,Aave,0.16,0.0193,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ACT,-,Achain,0.39,762.3667,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ADA,-,Cardano,0.12,4.0671,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ADX,-,AdEx,0.99,9.0619,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/AE,-,Aeternity,-0.46,14.632,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/AED,United Arab Emirates,UAE Dirham,0,3.6726,12/31/2022
USD/AEON,-,Aeon,9.01,13.2287,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/AFN,Afghanistan,Afghani,0,89.2153,12/31/2022
USD/AGRS,-,Agoras Tokens,9.86,8.7432,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/AION,-,Aion,0.86,38.0636,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ALGO,-,Algorand,-1.09,5.7282,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ALL,Albania,Albanian Lek,0,107.1195,12/31/2022
USD/AMB,-,Ambrosus,-0.86,85.5076,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/AMD,Armenia,Armenischer Dram,0,393.725,12/31/2022
USD/AMP,-,Synereo,0.08,328.135,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ANT,-,Aragon,-0.06,0.4478,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/APPC,-,AppCoins,0.05,440.4011,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ARDR,-,Ardor,-2.78,14.5519,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ARK,-,Ark,0.79,4.211,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ARS,Argentina,Argentine Peso,-0.43,176.37,12/31/2022
USD/ART,-,Maecenas,0.9,2078.047,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/ATM,-,ATMChain,-0.88,0.4321,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/AUD,Australia,Australian Dollar,0.01,1.4676,12/31/2022
USD/BAT,-,Basic Attention Token,0.08,6.0259,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/BCH,-,Bitcoin Cash,0.18,0.0103,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/BCN,-,Bytecoin,-6.12,44923.8401,07:10 AM01/01/2023 07:10:00 AM UTC-0500
USD/BDT,-,Bangladeshi Taka,0,106.375,12/31/2022
USD/BGN,Bulgaria,Bulgarian Lev,0,1.8272,12/31/2022
USD/BHD,Bahrain,Bahraini Dinar,-0.09,0.3767,12/31/2022
USD/BIF,Burundi,Burundian Franc,0,2062.5,12/31/2022
USD/BITB,-,Bean Cash,7.45,31197.4972,07:10 AM01/01/2023 07:10:00 AM UTC-0500
